,name
331,ZAR/BHD
332,BHD/INR
333,EUR/BIF
334,GBP/BIF
335,USD/BIF
336,BND/GBP
337,EUR/BND
338,GBP/BND
339,USD/BND
340,EUR/BOB
341,USD/BOB
342,BRL/BOB
343,BOB/BRL
344,CLP/BOB
345,BOB/CLP
346,PYG/BOB
347,BOB/PYG
348,BOB/UYU
349,COP/BOB
350,BOB/COP
351,PEN/BOB
352,BOB/PEN
353,UYU/BOB
354,BOB/MXN
355,MXN/BOB
356,VES/BOB
357,BOB/VES
358,BOB/USD
359,BRL/CAD
360,BRL/CHF
361,BRL/CLP
362,BRL/DKK
363,BRL/HKD
364,BRL/JPY
365,BRL/MXN
366,BRL/SGD
367,BRL/USD
368,CAD/BRL
369,CHF/BRL
370,EUR/BRL
371,GBP/BRL
372,JPY/BRL
373,SGD/BRL
374,USD/BRL
375,BRL/CNY
376,BRL/CZK
377,BRL/EGP
378,BRL/EUR
379,BRL/GBP
380,BRL/HUF
381,BRL/IDR
382,BRL/ILS
383,BRL/INR
384,BRL/ISK
385,BRL/JMD
386,BRL/JOD
387,BRL/KES
388,BRL/KRW
389,BRL/LBP
390,BRL/LKR
391,BRL/MAD
392,BRL/MYR
393,BRL/NAD
394,BRL/NOK
395,BRL/NPR
396,BRL/NZD
397,BRL/OMR
398,BRL/PAB
399,BRL/PHP
400,BRL/PKR
401,BRL/PLN
402,BRL/QAR
403,BRL/RON
404,BRL/RUB
405,BRL/SAR
406,BRL/SEK
407,BRL/THB
408,BRL/TRY
409,BRL/VES
410,BRL/XAF
411,BRL/XCD
412,BRL/XOF
413,BRL/ZAR
414,BRL/TWD
415,CNY/BRL
416,DKK/BRL
417,HKD/BRL
418,ILS/BRL
419,MXN/BRL
420,NOK/BRL
421,NZD/BRL
422,PLN/BRL
423,SAR/BRL
424,SEK/BRL
425,THB/BRL
426,TRY/BRL
427,TWD/BRL
428,VES/BRL
429,ZAR/BRL
430,BRL/PYG
431,BRL/UYU
432,BRL/COP
433,BRL/PEN
434,CLP/BRL
435,PYG/BRL
436,UYU/BRL
437,COP/BRL
438,PEN/BRL
439,RUB/BRL
440,INR/BRL
441,USD/BRL
442,BRL/RUB
443,USD/BRLT
444,BSD/GBP
445,EUR/BSD
446,GBP/BSD
447,USD/BSD
448,BWP/ZAR
449,EUR/BWP
450,GBP/BWP
451,USD/BWP
452,ZAR/BWP
453,EUR/BYN
454,USD/BYN
455,GBP/BYN
456,RUB/BYN
457,CHF/BYN
458,CAD/BYN
459,NZD/BYN
460,JPY/BYN
461,CNY/BYN
462,BYN/USD
463,BYN/EUR
464,BYN/RUB
465,BYN/RUB
466,EUR/BZD
467,USD/BZD
468,USD/CAD
469,CAD/CHF
470,EUR/CAD
471,CAD/JPY
472,GBP/CAD
473,NZD/CAD
474,CAD/PLN
475,CAD/DKK
476,CAD/NOK
477,CAD/SGD
478,CAD/SEK
