,name
131,Bny Mellon Structured Midcap Fund Class Y
132,Profunds Mid Cap Fund Service Class
133,Bnym Mellon Nsl Mid Cap Sif Uc4
134,Meridian Contrarian Fund A Class
135,Vy Jpmorgan Mid Cap Value Portfolio Class S2
136,Sei Institutional Managed Trust Mid-cap Portfolio Fund Class I
137,Bnym Mellon Nsl Mid Cap Sif Uc2
138,Bnym Mellon Nsl Mid Cap Core Fund
139,T. Rowe Price Mid-cap Growth Fund
140,T. Rowe Price New Horizons Fund
141,Principal Midcap Fund Institutional Class
142,Primecap Odyssey Aggressive Growth Fund
143,T. Rowe Price Mid-cap Growth Fund I Class
144,Vanguard Mid-cap Growth Index Fund Admiral Shares
145,T. Rowe Price Institutional Mid-cap Equity Growth Fund
146,Champlain Mid Cap Fund Advisor Class
147,Baron Growth Fund Retail Shares
148,Ivy Mid Cap Growth Fund Class I
149,Hennessy Focus Fund Investor Class
150,Ab Discovery Growth Fund Advisor Class
151,John Hancock Funds Ii Mid Cap Stock Fund Class Nav
152,Sei Institutional Investments Trust Extended Market Index Fund Class A
153,Wells Fargo Discovery Fund - Class Inst
154,Amg Timessquare Mid Cap Growth Fund Class Z
155,Great-west T. Rowe Price Mid Cap Growth Fund Institutional Class
156,Principal Midcap Growth Fund Iii Institutional Class
157,Jpmorgan Mid Cap Growth Fund Class I
158,Brighthouse Funds Trust I T.rowe Price Mid Cap Growth Portfolio Class B
159,Mfs Mid Cap Growth Fund Class A
160,Congress Mid Cap Growth Fund Institutional Class
161,Baron Partners Fund Institutional Shares
162,Jpmorgan Mid Cap Growth Fund Class A
163,Brighthouse Funds Trust Ii Frontier Mid Cap Growth Portfolio Class A
164,Vy T. Rowe Price Diversified Mid Cap Growth Portfolio Class I
165,Pgim Jennison Mid-cap Growth Fund- Class A
166,Voya Midcap Opportunities Portfolio Class S
167,Goldman Sachs Small/mid Cap Growth Fund Institutional Class
168,Jpmorgan Mid Cap Equity Fund Class R6
169,Tiaa-cref Mid-cap Growth Fund Institutional Class
170,Virtus Kar Small-cap Core Fund Class I
171,William Blair Small-mid Cap Growth Fund Class I
172,Baron Partners Fund Retail Shares
173,Fam Value Fund Investor Class
174,Baron Asset Fund Retail Class
175,Hartford Midcap Hls Fund Class Ia
176,Janus Henderson Enterprise Fund Class D
177,Baron Asset Fund Institutional Class
178,Baird Midcap Fund Institutional Class
179,Jpmorgan Mid Cap Growth Fund Class R6
180,Eaton Vance Atlanta Capital Smid-cap Fund Class A
181,Artisan Mid Cap Fund Investor Class
182,Ivy Mid Cap Growth Fund Class A
183,Federated Kaufmann Fund Class A Shares
184,The Hartford Midcap Fund Class Y
185,Principal Midcap Fund Class A
186,Buffalo Discovery Fund
187,Pgim Jennison Mid-cap Growth Fund- Class Z
188,Massmutual Select Mid Cap Growth Fund Class R5
189,Eventide Gilead Class I
190,Bny Mellon Small/mid Cap Growth Fund Class I
191,Carillon Eagle Mid Cap Growth Fund Class I
