,name
0,U.S. 30Y
1,U.S. 10Y
2,U.S. 7Y
3,U.S. 5Y
4,U.S. 3Y
5,U.S. 3M
6,U.S. 1Y
7,U.S. 6M
8,U.S. 1M
9,U.S. 2Y
